Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.54,-.67,-.41,-.71,-.55,-.34,-1.07,-.89,-.51,-.49,-.65,-.35,.04,*****
1881,-.55,-.53,-.57,-.53,-.55,-.56,-.92,-.80,-.22,-.49,-.61,-.54,-.25,*****
1882,-.46,-.53,-.43,-.56,-.39,-.42,-1.38,-.57,-.34,-.33,-.50,-.41,-.12,*****
1883,-.52,-.71,-.40,-.76,-.48,-.41,-.22,-1.10,-.62,-.48,-.40,-.48,.26,*****
1884,-.79,-.92,-.70,-.97,-.73,-.68,-1.23,-1.12,-.79,-.68,-.80,-.61,-.66,*****
1885,-.64,-.72,-.66,-.79,-.44,-.64,-1.27,-.89,-.58,-.32,-.72,-.61,-.44,*****
1886,-.74,-.68,-.77,-.73,-.64,-.66,-1.18,-.72,-.61,-.46,-1.18,-.62,-.49,*****
1887,-.80,-.72,-.83,-.75,-.77,-.70,-1.54,-.89,-.41,-.61,-1.22,-.72,-.24,*****
1888,-.55,-.71,-.49,-.78,-.43,-.50,-1.49,-.99,-.42,-.38,-.48,-.30,-.79,*****
1889,-.33,-.39,-.39,-.44,-.11,-.57,-.66,-.51,-.32,-.14,.00,-.53,-.47,*****
1890,-.65,-.57,-.76,-.58,-.71,-.60,-1.07,-.78,-.27,-.52,-.99,-.69,-.15,*****
1891,-.66,-.55,-.83,-.60,-.68,-.59,-1.25,-.54,-.46,-.33,-1.19,-.56,-.42,*****
1892,-.60,-.60,-.65,-.64,-.52,-.64,-1.38,-.79,-.32,-.40,-.66,-.69,-.26,*****
1893,-.64,-.63,-.69,-.63,-.73,-.52,-.93,-.70,-.47,-.61,-.86,-.71,.25,*****
1894,-.51,-.49,-.58,-.51,-.59,-.38,-1.14,-.56,-.24,-.41,-.78,-.51,.19,*****
1895,-.43,-.47,-.45,-.51,-.42,-.34,-.85,-.63,-.29,-.29,-.56,-.41,.00,*****
1896,-.37,-.43,-.43,-.54,-.35,-.19,-1.12,-.72,-.19,-.07,-.67,-.19,.02,*****
1897,-.28,-.27,-.33,-.36,-.10,-.42,-.68,-.40,-.22,.02,-.23,-.32,-.46,*****
1898,-.43,-.34,-.57,-.38,-.37,-.55,-1.16,-.33,-.15,-.19,-.58,-.48,-.53,*****
1899,-.36,-.20,-.59,-.26,-.36,-.43,-1.09,-.20,.00,-.01,-.75,-.36,-.40,*****
1900,-.20,-.15,-.29,-.19,-.10,-.36,-.63,-.18,-.02,-.01,-.19,-.25,-.43,*****
1901,-.20,-.14,-.29,-.14,-.23,-.22,-.47,.00,-.14,-.11,-.36,-.25,.07,*****
1902,-.40,-.45,-.42,-.60,-.15,-.53,-1.65,-.68,-.14,-.02,-.28,-.40,-.66,*****
1903,-.46,-.39,-.55,-.44,-.35,-.62,-.49,-.40,-.46,-.22,-.47,-.60,-.44,-1.33
1904,-.57,-.47,-.70,-.45,-.66,-.57,-.35,-.50,-.45,-.50,-.83,-.52,-.43,-1.70
1905,-.39,-.34,-.45,-.38,-.30,-.53,-.19,-.25,-.56,-.24,-.36,-.52,-.36,-.88
1906,-.29,-.22,-.37,-.23,-.26,-.40,-.38,-.09,-.29,-.19,-.33,-.33,-.32,-.93
1907,-.58,-.61,-.61,-.70,-.52,-.55,-.73,-.91,-.51,-.39,-.66,-.57,-.26,-1.27
1908,-.44,-.39,-.52,-.42,-.47,-.40,-.43,-.49,-.36,-.32,-.65,-.59,.14,.71
1909,-.45,-.41,-.53,-.47,-.39,-.51,-.80,-.54,-.31,-.25,-.54,-.61,-.08,-.79
1910,-.39,-.37,-.43,-.35,-.46,-.32,-.71,-.22,-.34,-.39,-.54,-.40,-.02,.32
1911,-.41,-.35,-.49,-.34,-.43,-.45,-.27,-.36,-.35,-.35,-.52,-.51,-.14,-.14
1912,-.38,-.51,-.29,-.63,-.22,-.36,-.69,-.72,-.53,-.23,-.21,-.18,-.44,-2.13
1913,-.38,-.41,-.35,-.40,-.43,-.30,-.63,-.29,-.40,-.44,-.39,-.16,-.38,-1.34
1914,-.13,-.16,-.11,-.18,-.15,-.04,-.59,-.09,-.11,-.12,-.19,.02,.03,-.31
1915,-.12,-.05,-.19,-.14,.09,-.36,-.69,-.09,.02,.16,.01,-.16,-.49,-2.65
1916,-.36,-.34,-.38,-.33,-.35,-.41,-.34,-.51,-.18,-.34,-.35,-.38,-.18,-1.82
1917,-.57,-.64,-.53,-.65,-.65,-.37,-.76,-.66,-.60,-.61,-.70,-.62,.41,.33
1918,-.49,-.47,-.56,-.46,-.58,-.39,-1.14,-.34,-.32,-.46,-.72,-.43,-.12,-.11
1919,-.25,-.36,-.20,-.47,-.16,-.13,-.84,-.65,-.20,-.06,-.26,-.10,-.07,.15
1920,-.32,-.26,-.38,-.22,-.35,-.41,.10,-.14,-.39,-.35,-.33,-.32,-.39,-1.05
1921,-.22,-.08,-.34,.02,-.32,-.32,.00,.15,-.09,-.28,-.35,-.23,-.30,-.93
1922,-.30,-.27,-.35,-.26,-.33,-.31,-.32,-.44,-.08,-.29,-.38,-.33,-.04,-.52
1923,-.32,-.18,-.45,-.12,-.36,-.48,.18,-.08,-.25,-.30,-.42,-.36,-.59,-.54
1924,-.28,-.12,-.40,-.11,-.20,-.55,.31,-.13,-.24,-.15,-.25,-.54,-.31,-1.43
1925,-.31,-.08,-.52,.00,-.34,-.57,-.15,.23,-.14,-.23,-.45,-.51,-.52,-.81
1926,-.10,.07,-.23,.11,-.06,-.35,.46,.25,-.13,-.01,-.11,-.20,-.53,-.69
1927,-.23,-.08,-.37,-.11,-.14,-.47,-.06,-.23,-.03,-.03,-.26,-.28,-.65,-1.81
1928,-.15,.00,-.27,.02,-.06,-.45,.63,-.06,-.14,-.03,-.09,-.27,-.52,-3.00
1929,-.38,-.29,-.48,-.34,-.29,-.54,.06,-.50,-.36,-.20,-.41,-.47,-.41,-1.82
1930,-.20,.03,-.43,.10,-.22,-.47,.46,.11,-.03,-.09,-.37,-.20,-.75,-3.28
1931,-.12,.08,-.28,.09,-.01,-.47,.42,.03,.00,.08,-.11,-.45,-.29,-.77
1932,-.13,-.01,-.24,.07,-.18,-.26,.28,.23,-.14,-.15,-.20,-.14,-.28,-1.35
1933,-.27,-.27,-.26,-.32,-.21,-.29,-.34,-.49,-.17,-.18,-.23,-.18,-.29,-1.39
1934,-.12,.05,-.27,.23,-.27,-.28,.70,.42,-.10,-.28,-.25,-.25,-.10,-.82
1935,-.25,-.10,-.36,-.04,-.22,-.51,.17,.03,-.17,-.22,-.21,-.38,-.57,-1.62
1936,-.12,-.04,-.19,-.02,-.11,-.23,.19,.06,-.15,-.07,-.15,-.24,-.04,.10
1937,-.02,.16,-.18,.24,-.04,-.26,1.06,.11,.05,.02,-.10,-.25,-.18,.69
1938,.04,.24,-.14,.43,-.12,-.15,1.16,.48,.12,-.12,-.12,-.03,-.16,-1.19
1939,-.13,.11,-.33,.25,-.19,-.44,.47,.31,.13,-.16,-.23,-.19,-.76,-2.01
1940,.06,.12,.01,.18,.03,-.03,.81,.13,-.02,.00,.06,.04,-.02,-.09
1941,.02,.08,-.02,.00,.18,-.19,-.26,-.12,.19,.22,.15,-.06,-.31,-.53
1942,.02,.05,.01,.06,.08,-.09,.24,-.02,.05,.05,.11,.06,-.22,-1.37
1943,-.03,.09,-.15,.30,-.25,-.08,1.14,.33,-.04,-.30,-.20,-.12,.16,1.07
1944,.03,.14,-.07,.27,-.08,-.06,.98,.41,-.11,-.11,-.06,.06,-.19,-.13
1945,-.11,-.05,-.16,-.03,-.09,-.22,.41,-.09,-.14,-.10,-.09,.05,-.53,-2.33
1946,-.10,.05,-.25,.07,-.08,-.29,-.12,-.05,.22,.02,-.19,-.17,-.48,.11
1947,.03,.13,-.06,.17,.03,-.12,.86,-.08,.12,.04,.01,-.10,-.01,-.07
1948,-.09,.07,-.23,.16,-.10,-.33,.15,.32,.03,-.08,-.12,-.15,-.48,-1.28
1949,-.12,-.02,-.20,.05,-.12,-.31,.19,.12,-.06,-.15,-.09,-.10,-.48,-1.86
1950,-.23,-.19,-.28,-.14,-.26,-.28,.05,-.28,-.11,-.26,-.26,-.07,-.49,-.93
1951,-.08,.01,-.16,.05,-.08,-.19,-.06,.04,.10,-.06,-.11,-.17,-.09,-.20
1952,-.04,.04,-.08,.06,.03,-.22,.07,-.10,.18,-.01,.07,-.16,-.14,-.71
1953,.05,.26,-.12,.38,.03,-.24,.81,.36,.24,.05,.02,-.09,-.19,-2.04
1954,-.14,-.05,-.21,-.01,-.14,-.27,.52,-.27,-.01,-.14,-.14,-.15,-.29,-.86
1955,-.13,-.12,-.16,-.06,-.24,-.07,-.51,-.12,.16,-.23,-.24,-.28,.10,1.23
1956,-.24,-.35,-.14,-.39,-.30,.01,-.33,-.61,-.26,-.29,-.32,-.28,.34,.73
1957,.02,-.02,.06,.02,-.05,.12,.07,.21,-.15,-.07,-.02,-.04,.14,.52
1958,.07,.16,-.01,.13,.20,-.16,-.12,.20,.17,.22,.19,.02,-.27,-.49
1959,.04,.13,-.03,.16,.10,-.15,.51,.13,.05,.07,.13,.06,-.43,-.32
1960,-.02,.11,-.14,.13,-.01,-.19,.37,.03,.12,.07,-.08,.01,-.09,-.82
1961,.09,.10,.08,.20,-.02,.12,-.12,.37,.19,-.08,.03,.19,-.05,.18
1962,.02,.14,-.08,.24,-.06,-.09,.58,.32,.05,-.05,-.07,.02,.20,-.76
1963,.02,.12,-.07,.16,.02,-.11,-.02,.34,.10,.06,-.02,-.08,-.29,.08
1964,-.25,-.23,-.27,-.30,-.12,-.36,-.59,-.32,-.18,-.10,-.15,-.34,-.41,-.35
1965,-.17,-.19,-.14,-.21,-.15,-.14,-.18,-.27,-.17,-.16,-.14,-.17,-.15,-.06
1966,-.07,-.04,-.09,-.13,.05,-.16,-.74,-.17,.14,.11,.00,-.25,-.27,.19
1967,-.02,.00,-.04,.09,-.14,.03,.48,.24,-.16,-.16,-.12,-.03,-.06,.34
1968,-.10,-.11,-.09,-.10,-.16,-.01,-.28,.01,-.12,-.13,-.20,-.13,.26,-.03
1969,.01,-.05,.07,-.23,.24,-.05,.02,-.50,-.11,.26,.22,.00,-.21,.04
1970,.07,.01,.12,-.04,.11,.12,-.18,-.09,.05,.11,.10,.05,.08,.39
1971,-.07,-.14,-.01,-.08,-.21,.13,-.11,-.03,-.10,-.24,-.18,-.04,.29,.37
1972,-.02,-.24,.18,-.40,.11,.20,-.33,-.57,-.30,.05,.17,.16,-.05,.65
1973,.23,.19,.27,.17,.28,.21,.18,.28,.09,.21,.35,.21,.10,.36
1974,-.04,-.14,.05,-.14,-.18,.25,-.15,-.09,-.17,-.16,-.21,.06,.32,.68
1975,.02,.00,.03,.10,-.15,.15,.21,.31,-.10,-.18,-.12,.12,.09,.34
1976,-.17,-.22,-.13,-.27,-.13,-.14,-.02,-.28,-.35,-.14,-.11,-.05,-.15,-.36
1977,.21,.19,.23,.20,.20,.24,.23,.27,.13,.18,.22,.29,.19,.19
1978,.14,.08,.19,.04,.14,.23,-.08,.09,.05,.15,.13,.30,.34,-.07
1979,.20,.16,.24,.07,.29,.21,-.56,.14,.26,.30,.27,.32,.33,-.19
1980,.34,.22,.44,.14,.34,.53,.34,.08,.11,.37,.32,.46,.38,.97
1981,.43,.52,.35,.69,.23,.45,1.28,.89,.30,.23,.22,.36,.55,.59
1982,.13,.05,.21,-.02,.21,.18,-.24,.07,.00,.18,.24,.32,.21,-.21
1983,.39,.38,.40,.40,.47,.27,.32,.76,.14,.36,.57,.30,.37,.07
1984,.21,.14,.28,.13,.23,.27,.43,.11,.04,.16,.30,.16,.23,.63
1985,.19,.06,.32,.02,.19,.37,.32,-.22,.09,.14,.25,.38,.51,.18
1986,.25,.20,.31,.20,.27,.28,.05,.31,.18,.19,.34,.31,.38,.09
1987,.41,.37,.44,.23,.62,.30,-.28,.25,.41,.60,.64,.40,.24,.11
1988,.51,.50,.54,.54,.50,.51,.81,.62,.37,.42,.57,.41,.23,1.16
1989,.38,.37,.39,.51,.21,.46,.51,.77,.31,.13,.30,.40,.65,.39
1990,.53,.62,.45,.75,.46,.40,.71,.90,.65,.41,.51,.38,.44,.42
1991,.52,.52,.53,.59,.41,.59,.87,.70,.40,.39,.44,.43,.49,1.08
1992,.23,.17,.29,.15,.31,.20,-.08,.34,.10,.21,.41,.16,.05,.46
1993,.26,.25,.27,.24,.34,.18,.69,.27,.03,.28,.40,.25,.26,-.10
1994,.38,.47,.29,.55,.36,.21,.44,.52,.62,.33,.40,.39,.10,-.08
1995,.55,.76,.37,.92,.54,.20,1.41,1.10,.57,.47,.61,.35,.00,.10
1996,.47,.41,.54,.40,.43,.60,.91,.28,.30,.41,.44,.32,.69,1.19
1997,.53,.66,.42,.73,.53,.33,.85,.94,.51,.53,.54,.47,.29,.04
1998,.83,.96,.71,.99,.95,.50,.98,.97,1.02,.91,.99,.57,.58,.25
1999,.58,.68,.50,.86,.43,.51,.54,.87,1.00,.37,.48,.69,.53,.07
2000,.57,.69,.45,.87,.40,.48,1.20,.90,.70,.40,.40,.54,.46,.37
2001,.66,.83,.51,.96,.55,.52,1.08,.92,.94,.60,.50,.52,.51,.50
2002,.78,.93,.65,1.05,.73,.58,1.40,1.14,.83,.72,.75,.50,.45,.94
2003,.76,.91,.63,1.04,.72,.54,1.60,1.22,.67,.69,.74,.56,.42,.62
2004,.67,.84,.51,.93,.63,.46,.73,1.13,.86,.68,.57,.58,.57,.02
2005,.86,1.04,.70,1.19,.79,.63,2.11,1.33,.70,.78,.79,.60,.48,.84
2006,.75,.98,.55,1.17,.62,.52,1.75,1.14,.94,.66,.57,.63,.43,.40
2007,.84,1.08,.62,1.33,.63,.63,2.01,1.45,.95,.65,.61,.51,.37,1.21
2008,.63,.79,.48,.99,.47,.49,1.45,1.08,.72,.46,.48,.53,.39,.50
2009,.77,.85,.69,.87,.77,.66,1.23,.72,.84,.82,.72,.68,.45,.87
2010,.90,1.15,.67,1.25,.92,.53,1.96,1.08,1.08,.97,.88,.61,.45,.42
2011,.76,.93,.62,1.12,.55,.69,2.16,1.08,.70,.60,.51,.68,.51,.97
2012,.75,.97,.55,1.13,.64,.51,1.91,.95,.96,.69,.60,.63,.36,.38
2013,.79,.92,.66,1.03,.71,.65,1.24,1.20,.81,.75,.69,.70,.47,.73
2014,.85,1.10,.63,1.27,.75,.58,1.85,1.39,.93,.79,.71,.76,.26,.51
2015,.95,1.31,.63,1.48,.97,.40,1.74,1.65,1.23,1.01,.93,.82,.14,-.27
2016,1.23,1.62,.87,1.87,1.16,.68,3.20,1.74,1.42,1.20,1.12,.77,.65,.47
